# Run 3 · Stage 6 · the retro-discrimination census. One line per row, TAB separated:
#   <fixture id>	<bucket>	<witness>
#
# The row set is generated from the run's own test sources by `scripts/extract_rows.py`, so it
# equals the tree's row set by construction. `scripts/s6_census.sh` re-derives every bucket and
# fails if this file and the tree disagree.
#
# ANCHOR         the row reads differently at one of the four anchors, so a compiler from before
#                the run fails it. the witness names which anchors.
# PREFIX         it agrees with every anchor but differs at a run-internal prefix, so it
#                discriminates a commit this run made.
# CTRL-ABLATION  it agrees everywhere in history AND moves when a named rule is deleted.
# CTRL-NOSTORE   it reaches managed memory but forms no element address, so no rule this run
#                wrote can move it. the witness says why, per row.
# CTRL-INERT     accepted at allocs=0: it reaches no managed memory at all.
# CTRL-FENCE     refused. it pins a fence rather than a value.
#
# The last four buckets are controls, not claims. A control that started discriminating would be
# a rule change nobody declared, which is why they are pinned here rather than left implicit.
run3_stage2_positions__F3_EXPLICIT_NOGC_BOUND	CTRL-INERT	allocs=0: the row reaches no managed memory
run3_stage2_positions__F3_GENERIC_ENUM	CTRL-INERT	allocs=0: the row reaches no managed memory
run3_stage2_positions__F3_GENERIC_STRUCT_AS_RETURN	CTRL-INERT	allocs=0: the row reaches no managed memory
run3_stage2_positions__F3_GENERIC_STRUCT_BY_REF	CTRL-INERT	allocs=0: the row reaches no managed memory
run3_stage2_positions__F3_GENERIC_STRUCT_BY_VALUE	CTRL-INERT	allocs=0: the row reaches no managed memory
run3_stage3_cow__S3_01	ANCHOR	run25_sentinel
run3_stage3_cow__S3_02	CTRL-ABLATION	detach
run3_stage3_cow__S3_03	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_04	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_05	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_06	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_07	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_08	PREFIX	p2_stage2tip
run3_stage3_cow__S3_09	CTRL-NOSTORE	two owners, reads only: no store, so no address is formed to detach
run3_stage3_cow__S3_10	ANCHOR	run25_sentinel
run3_stage3_cow__S3_11	CTRL-NOSTORE	one owner, reads only
run3_stage3_cow__S3_12	CTRL-FENCE	refused by E0415
run3_stage3_cow__S3_13	CTRL-FENCE	refused by E0415
run3_stage3_cow__S3_14	CTRL-FENCE	refused by E0415
run3_stage3_cow__S3_15	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_15_ALIASED	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_16	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_16_ALIASED	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_17	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base
run3_stage3_cow__S3_18	CTRL-FENCE	refused by E0713
run3_stage3_cow__S3_19	CTRL-FENCE	refused by E0711
run3_stage3_cow__S3_20	CTRL-FENCE	refused by E0412
run3_stage3_cow__S3_20B	CTRL-FENCE	refused by E0412
run3_stage3_cow__S3_20C	CTRL-FENCE	refused by E0412
run3_stage3_cow__S3_21_RC	CTRL-FENCE	refused by E0410
run3_stage3_cow__S3_21_STRUCT	CTRL-FENCE	refused by E0410
run3_stage3_cow__S3_22_READS	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_22_STORE	CTRL-FENCE	refused by E0727
run3_stage3_cow__S3_26	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_27	CTRL-ABLATION	detach
run3_stage3_cow__S3_28	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_29	CTRL-NOSTORE	a captured scalar, no Vec at all; the frees=0 is the declared closure-env leak
run3_stage3_cow__S3_30	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_31	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_32	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_33	ANCHOR	run25_stage1tip,run25_stage2base,run3_base
run3_stage3_cow__S3_34	CTRL-ABLATION	detach
run3_stage3_cow__S3_35	CTRL-NOSTORE	the whole Vec is replaced through &mut, so the header moves and no element address is formed
run3_stage4_ref_mutability__A21_SHARED_READ	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__DIRECT_SPELLING	ANCHOR	run25_sentinel
run3_stage4_ref_mutability__P1_WHOLE_ELEMENT	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__P2_FIELD_OF_ELEMENT	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__P3_FIELD_ALONE	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__P4_VIA_LOCAL_SLICE	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__P5_DYNAMIC_INDEX	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__P6_CALL_THROUGH_PROJECTION	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__R1_LET	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
run3_stage4_ref_mutability__R2_ARG	ANCHOR	run25_sentinel,run25_stage1tip,run25_stage2base,run3_base
